Title,Salary,Location,Employment Type
Менеджер з продажу у Львів,61 000 – 80 000 грн,Львів шукаємо в Одесі,Повна зайнятість
SEO-специалист,40 000 – 80 000 грн,Дистанційно,Повна зайнятість
Middle Manual QA Engineer,SoftSvit,Київ,Повна зайнятість
Pre-sales Manager,YouControl,Дистанційно,Повна зайнятість
QA Support specialist,SoftSvit,Київ,Повна зайнятість
"Консультант, аналітик 1С, BAS",35 000 – 65 000 грн,Дистанційно,Повна зайнятість
"Менеджер по роботі з клієнтами (В2В, послуги)",25 000 – 30 000 грн,Дніпро,Повна зайнятість
Customer Support Specialist (Night Shift),СМК (Software MacKiev),Дистанційно,Повна зайнятість
Головний спеціаліст формування державної політики у сфері публічних електронних реєстрів,Дія,Київ,Повна зайнятість
Бариста,25 000 грн,Київ,Повна зайнятість
Технічний фахівець (виїзне обслуговування програми M.E.Doc),25 000 – 45 000 грн,Київ,Повна зайнятість
Information Security Specialist,EvoPlay,Київ,Повна зайнятість
Менеджер з обробки та відправки замовлень,15 000 – 20 000 грн,Хмельницький,Повна зайнятість
Слюсар-ремонтник господарського відділу (ст. м. Теремки) у Хотів,37 030 грн,Хотів шукаємо у Києві,Повна зайнятість
Менеджер з письмової підтримки користувачів,23 000 – 24 000 грн,Київ,Повна зайнятість
Асистент менеджера з продажу,25 000 – 30 000 грн,Київ,Повна зайнятість
"2D Artist Concept (DDV, Stylized)",Gameloft,Дистанційно,Повна зайнятість
Sales Manager,18 000 – 40 000 грн,Дистанційно,Повна зайнятість
Головний спеціаліст з верифікації даних,Дія,Київ,Повна зайнятість
Lead generation manager,20 000 – 40 000 грн,Дистанційно,Повна зайнятість
Motion-дизайнер,24Play,Київ,Повна зайнятість
"Водій з власним автомобілем (мікроавтобус, пікап)",27 000 – 29 000 грн,Одеса,Повна зайнятість
Менеджер з продажу (HoReCa),MAUDAU,Київ,Повна зайнятість
Sales manager,"Мрія, освітній застосунок",Київ,Повна зайнятість
Support Manager (Rieltor.ua),ЛУН,Дистанційно,Повна зайнятість
"Middle, Senior Affiliate Manager",SoftSvit,Київ,Повна зайнятість
Менеджер з продажу,35 000 – 50 000 грн,Хмельницький,Повна зайнятість
Operations Specialist (intern),Railsware,Київ,Повна зайнятість
Junior Customer Support Specialist,25 000 грн,Київ,Повна зайнятість
Project manager,ABM Cloud,Дистанційно,Повна зайнятість
Marketing manager (соціальні мережі),EvoPlay,Дистанційно,Повна зайнятість
Менеджер з продажу у IT-компанію,20 000 – 45 000 грн,Дистанційно,Повна зайнятість
"Sales manager, менеджер із залучення клієнтів",SmartTender,Дистанційно,Повна зайнятість
Front-end розробник,23 000 – 28 000 грн,Дніпро,Повна зайнятість
Lead generation manager,29 000 грн,Дистанційно,Повна зайнятість
"Trainee, Junior, Middle Full Stack JavaScript Developer (Relocation)",Інсайдери,Львів,Повна зайнятість
"Trainee, Junior, Middle Full Stack JavaScript Developer",Інсайдери,Львів,Повна зайнятість
Graphic designer,Soft Industry,Дистанційно,Неповна зайнятість
Менеджер з продажу,35 000 – 50 000 грн,Вінниця,Повна зайнятість
"Trainee, Junior, Middle Back-End Developer (Node. js) (Relocation)",Інсайдери,Львів,Повна зайнятість
Business Development/Affiliate Manager (English),Jooble,Дистанційно,Повна зайнятість
"Інженер-електронщик, розробник електронних систем",50 000 – 80 000 грн,Київ,Повна зайнятість
"Media Buyer (Google, PPC, на E-Commerce-проект)",80 000 – 160 000 грн,Дистанційно,Повна зайнятість
"Менеджер з продажів (комунальні клініки, ID 201)",Helsi,Київ,Повна зайнятість
